Datazone,Population,Air.quality,Noise,Congestion,Road.Repairs,Road.Safety,Hassle.Costs,Physical.Activity,Excess.Cold,Excess.Heat,Dampness,Diet.Change,Total,,£ millions total
E01029431,1616,1.34,0.23,0.31,0.17,0.04,-1.25,2.95,0.19,0.00,0.04,1.05,5.05,,
E01029432,1365,1.13,0.22,0.26,0.14,0.03,-1.05,2.30,0.15,0.00,0.04,0.89,4.35,,
E01029433,1530,1.26,0.32,0.28,0.16,0.04,-1.18,1.96,0.43,0.00,0.02,1.00,4.35,,
E01029434,1680,1.39,0.32,0.31,0.18,0.04,-1.30,2.68,0.49,0.00,0.02,1.09,5.21,,
E01029435,1487,1.23,0.18,0.27,0.16,0.04,-1.15,0.32,0.66,0.00,0.01,0.97,2.60,,
E01029436,1847,1.53,0.53,0.36,0.20,0.04,-1.44,0.10,0.10,0.00,0.05,1.21,2.60,,
E01029437,2867,2.37,0.58,0.49,0.30,0.07,-2.22,3.28,0.45,0.00,0.06,1.86,7.51,,
E01029438,1468,1.22,0.06,0.26,0.16,0.04,-1.13,0.02,0.66,0.00,0.01,0.95,2.31,,
E01029439,1431,1.18,0.19,0.24,0.15,0.03,-1.11,1.76,0.24,0.00,0.03,0.93,3.69,,
E01029440,1299,1.08,0.31,0.21,0.14,0.03,-1.01,2.24,0.25,0.00,0.03,0.84,4.33,,
E01029441,1677,1.39,0.30,0.27,0.18,0.04,-1.30,2.30,0.45,0.00,0.02,1.09,4.86,,
E01029442,1715,1.42,0.22,0.31,0.18,0.04,-1.32,3.77,0.17,0.00,0.05,1.12,6.00,,
E01029443,1712,1.40,0.49,0.33,0.18,0.04,-1.32,3.61,0.16,0.00,0.04,1.11,6.65,,
E01029371,1441,1.19,0.35,0.27,0.15,0.03,-1.11,2.42,0.61,0.00,0.02,0.94,4.71,,
E01029444,1488,1.22,0.37,0.26,0.16,0.04,-1.15,2.06,0.38,0.00,0.02,0.97,4.37,,
E01029357,1652,1.29,0.27,0.31,0.18,0.04,-1.28,1.89,0.54,0.00,0.01,1.07,4.50,,
E01029475,2042,1.59,0.72,0.39,0.22,0.05,-1.58,3.55,0.81,0.00,0.01,1.33,6.82,,
E01029296,2361,1.94,0.54,0.47,0.25,0.06,-1.82,5.46,0.21,0.00,0.06,1.54,8.60,,
E01029403,1371,1.13,0.24,0.25,0.15,0.03,-1.06,1.88,0.15,0.00,0.03,0.89,3.75,,
E01029093,1497,1.24,0.34,0.29,0.16,0.04,-1.16,2.86,0.31,0.00,0.03,0.97,4.97,,
E01029248,1533,1.27,0.27,0.27,0.16,0.04,-1.18,2.52,0.16,0.00,0.04,1.00,4.83,,
E01029249,1344,1.11,0.29,0.24,0.14,0.03,-1.04,2.56,0.14,0.00,0.03,0.87,4.47,,
E01029250,1312,1.09,0.09,0.24,0.14,0.03,-1.01,1.58,0.41,0.00,0.01,0.85,3.64,,
E01029251,1848,1.51,0.47,0.36,0.20,0.04,-1.43,2.72,0.69,0.00,0.02,1.20,5.52,,
E01029252,1369,1.13,0.29,0.26,0.15,0.03,-1.06,2.01,0.58,0.00,0.02,0.89,4.34,,
E01029254,1350,1.11,0.27,0.23,0.14,0.03,-1.04,1.94,0.20,0.00,0.03,0.88,3.81,,
E01029255,1331,1.10,0.16,0.24,0.14,0.03,-1.03,2.26,0.19,0.00,0.03,0.87,4.11,,
E01029256,2271,1.89,0.37,0.43,0.24,0.05,-1.75,3.39,0.51,0.00,0.04,1.48,6.67,,
E01029257,2185,1.81,0.60,0.44,0.23,0.05,-1.70,4.34,0.97,0.00,0.02,1.42,8.03,,
E01029258,1703,1.42,0.18,0.32,0.18,0.04,-1.32,2.17,0.52,0.00,0.02,1.11,4.72,,
E01029259,1501,1.26,0.34,0.26,0.16,0.04,-1.17,0.29,0.12,0.00,0.04,0.99,2.18,,
E01029404,1636,1.35,0.18,0.29,0.17,0.04,-1.26,2.09,0.22,0.00,0.04,1.06,4.29,,
E01029260,2373,1.97,0.26,0.42,0.25,0.06,-1.83,2.64,0.33,0.00,0.05,1.54,5.96,,
E01029405,1635,1.36,0.40,0.30,0.17,0.04,-1.26,3.10,0.14,0.00,0.05,1.07,5.53,,
E01029261,2251,1.87,0.52,0.35,0.24,0.05,-1.75,3.00,0.78,0.00,0.02,1.47,6.52,,
E01029406,1283,1.07,0.29,0.25,0.14,0.03,-0.99,1.63,0.15,0.00,0.03,0.84,3.46,,
E01029445,2669,2.25,0.32,0.50,0.28,0.06,-2.09,2.62,0.43,0.00,0.06,1.76,6.14,,
E01029297,1380,1.15,0.07,0.25,0.15,0.03,-1.07,1.69,0.18,0.00,0.03,0.90,3.39,,
E01029262,2319,1.92,0.56,0.36,0.25,0.06,-1.79,3.42,0.65,0.00,0.03,1.51,6.93,,
E01029407,1707,1.41,0.34,0.31,0.18,0.04,-1.32,0.52,0.09,0.00,0.04,1.11,2.71,,
E01029476,1405,1.10,0.06,0.24,0.15,0.03,-1.09,0.50,0.28,0.00,0.03,0.92,2.35,,
E01029446,2177,1.77,0.72,0.42,0.23,0.05,-1.68,0.19,0.14,0.00,0.06,1.42,3.28,,
E01029161,1556,1.28,0.27,0.29,0.17,0.04,-1.20,0.81,0.26,0.00,0.03,1.01,3.00,,
E01029298,1405,1.16,0.35,0.24,0.15,0.03,-1.08,1.65,0.20,0.00,0.03,0.91,3.51,,
E01029263,1457,1.22,0.23,0.27,0.16,0.04,-1.14,1.36,0.31,0.00,0.03,0.95,3.30,,
E01029178,1510,1.25,0.35,0.25,0.16,0.04,-1.17,2.47,0.65,0.00,0.01,0.99,4.84,,
E01029179,1111,0.95,0.16,0.22,0.12,0.03,-0.87,1.63,0.32,0.00,0.01,0.73,3.44,,
E01029180,1507,1.29,0.36,0.27,0.17,0.04,-1.20,1.45,0.20,0.00,0.03,1.01,3.50,,
E01029181,1320,1.12,0.30,0.21,0.14,0.03,-1.03,2.20,0.18,0.00,0.03,0.87,4.04,,
E01029182,1667,1.39,0.36,0.26,0.18,0.04,-1.29,2.17,0.23,0.00,0.04,1.09,4.30,,
E01029183,1713,1.42,0.21,0.32,0.18,0.04,-1.32,3.07,0.18,0.00,0.04,1.11,5.36,,
E01029184,1804,1.50,0.19,0.35,0.19,0.04,-1.39,3.91,0.20,0.00,0.04,1.17,6.03,,
E01029185,1600,1.33,0.18,0.28,0.17,0.04,-1.24,2.51,0.20,0.00,0.04,1.04,4.49,,
E01029186,1490,1.24,0.21,0.26,0.16,0.04,-1.16,1.03,0.29,0.00,0.03,0.97,3.18,,
E01029187,1183,0.99,0.26,0.19,0.13,0.03,-0.92,1.87,0.32,0.00,0.01,0.78,3.52,,
E01029188,1550,1.29,0.18,0.30,0.16,0.04,-1.20,3.08,0.15,0.00,0.04,1.01,5.46,,
E01029189,1093,0.91,0.20,0.20,0.12,0.03,-0.84,2.78,0.09,0.00,0.03,0.71,4.28,,
E01029190,1447,1.20,0.20,0.27,0.15,0.03,-1.12,3.40,0.14,0.00,0.04,0.94,5.94,,
E01029191,1291,1.07,0.33,0.21,0.14,0.03,-1.00,3.44,0.11,0.00,0.03,0.84,5.10,,
E01029192,1378,1.14,0.23,0.25,0.15,0.03,-1.06,0.77,0.51,0.00,0.01,0.90,3.29,,
E01029193,1901,1.58,0.31,0.34,0.20,0.05,-1.47,3.30,0.18,0.00,0.05,1.24,6.04,,
E01029194,2760,2.29,0.58,0.52,0.29,0.07,-2.13,4.26,0.79,0.00,0.03,1.80,8.27,,
E01029195,1505,1.25,0.16,0.27,0.16,0.04,-1.16,2.59,0.21,0.00,0.04,0.98,4.69,,
E01029196,1832,1.57,0.43,0.34,0.20,0.04,-1.45,0.96,0.22,0.00,0.04,1.23,3.51,,
E01029222,1749,1.49,0.43,0.30,0.19,0.04,-1.36,2.29,0.43,0.00,0.02,1.15,4.77,,
E01029223,1202,1.00,0.30,0.19,0.13,0.03,-0.93,2.22,0.15,0.00,0.03,0.78,3.78,,
E01029224,2154,1.80,0.49,0.34,0.23,0.05,-1.67,2.91,0.62,0.00,0.03,1.40,6.18,,
E01029225,2655,2.21,0.36,0.52,0.28,0.06,-2.05,3.55,0.81,0.00,0.03,1.73,7.94,,
E01029226,1583,1.32,0.22,0.29,0.17,0.04,-1.23,2.24,0.44,0.00,0.02,1.03,4.51,,
E01029227,2271,1.89,0.22,0.39,0.24,0.05,-1.75,1.40,0.43,0.00,0.05,1.48,4.47,,
E01029228,2167,1.80,0.38,0.40,0.23,0.05,-1.67,1.98,0.56,0.00,0.02,1.41,5.59,,
E01029229,2171,1.80,0.28,0.38,0.23,0.05,-1.68,3.03,0.58,0.00,0.03,1.41,6.30,,
E01029230,2329,1.94,0.55,0.42,0.25,0.06,-1.80,1.69,1.01,0.00,0.01,1.52,5.52,,
E01029231,1506,1.24,0.31,0.27,0.16,0.04,-1.17,1.93,0.61,0.00,0.02,0.98,4.60,,
E01029232,1663,1.39,0.36,0.27,0.18,0.04,-1.29,1.31,0.24,0.00,0.04,1.08,3.67,,
E01029233,1775,1.53,0.21,0.33,0.19,0.04,-1.41,1.34,0.33,0.00,0.03,1.18,3.86,,
E01029235,1409,1.17,0.25,0.27,0.15,0.03,-1.09,1.95,0.10,0.00,0.04,0.92,3.48,,
E01029236,1544,1.28,0.21,0.29,0.16,0.04,-1.20,0.84,0.31,0.00,0.03,1.00,2.92,,
E01029237,1729,1.44,0.13,0.33,0.18,0.04,-1.34,0.89,0.78,0.00,0.01,1.12,3.57,,
E01029238,1438,1.19,0.29,0.25,0.15,0.03,-1.12,1.72,0.25,0.00,0.04,0.94,3.90,,
E01029239,1749,1.42,0.55,0.31,0.19,0.04,-1.35,1.20,0.62,0.00,0.01,1.14,4.54,,
E01029240,1603,1.31,0.46,0.29,0.17,0.04,-1.24,0.83,0.10,0.00,0.04,1.04,2.83,,
E01029241,2187,1.81,0.20,0.41,0.23,0.05,-1.69,2.50,0.29,0.00,0.05,1.42,5.29,,
E01029242,1440,1.18,0.31,0.28,0.15,0.03,-1.11,2.18,0.63,0.00,0.02,0.94,4.80,,
E01029243,1617,1.32,0.49,0.31,0.17,0.04,-1.25,1.26,0.58,0.00,0.01,1.05,3.92,,
E01029244,1439,1.19,0.24,0.27,0.15,0.03,-1.11,1.81,0.40,0.00,0.02,0.94,4.01,,
E01029245,2197,1.79,0.69,0.38,0.23,0.05,-1.70,5.63,0.18,0.00,0.06,1.43,8.72,,
E01029246,1449,1.18,0.37,0.28,0.15,0.03,-1.12,0.80,0.49,0.00,0.01,0.94,3.30,,
E01029247,1607,1.33,0.38,0.30,0.17,0.04,-1.24,2.30,0.61,0.00,0.02,1.05,4.97,,
E01029264,1419,1.17,0.36,0.26,0.15,0.03,-1.10,2.20,0.24,0.00,0.03,0.92,4.18,,
E01029299,1615,1.33,0.29,0.29,0.17,0.04,-1.25,1.26,0.60,0.00,0.01,1.05,4.25,,
E01029477,1639,1.41,0.30,0.31,0.18,0.04,-1.30,3.19,0.66,0.00,0.02,1.08,5.53,,
E01029164,1662,1.37,0.45,0.28,0.18,0.04,-1.28,2.71,0.20,0.00,0.04,1.08,5.15,,
E01029265,1400,1.15,0.43,0.24,0.15,0.03,-1.08,3.65,0.12,0.00,0.04,0.91,5.65,,
E01029213,1300,1.08,0.29,0.20,0.14,0.03,-1.02,1.74,0.18,0.00,0.03,0.86,3.44,,
E01029447,1854,1.52,0.55,0.37,0.20,0.04,-1.43,3.53,0.77,0.00,0.02,1.21,6.90,,
E01029448,1945,1.61,0.24,0.38,0.21,0.05,-1.50,1.10,0.84,0.00,0.01,1.27,4.31,,
E01029449,1734,1.43,0.38,0.33,0.18,0.04,-1.34,2.81,0.72,0.00,0.02,1.13,5.86,,
E01029450,1531,1.26,0.30,0.30,0.16,0.04,-1.18,1.10,0.66,0.00,0.01,1.00,3.78,,
E01029451,1798,1.48,0.34,0.32,0.19,0.04,-1.39,3.53,0.16,0.00,0.05,1.17,5.76,,
E01029452,1616,1.33,0.26,0.30,0.17,0.04,-1.25,0.90,0.71,0.00,0.01,1.05,3.44,,
E01029453,1557,1.29,0.21,0.29,0.17,0.04,-1.20,3.12,0.15,0.00,0.04,1.01,5.47,,
E01029454,1556,1.29,0.35,0.30,0.17,0.04,-1.21,1.95,0.69,0.00,0.02,1.02,4.83,,
E01029455,1691,1.38,0.49,0.31,0.18,0.04,-1.31,4.08,0.14,0.00,0.05,1.10,6.51,,
E01029456,1346,1.11,0.20,0.24,0.14,0.03,-1.04,1.71,0.24,0.00,0.03,0.88,3.58,,
E01029457,1279,1.06,0.20,0.22,0.14,0.03,-0.99,1.44,0.19,0.00,0.03,0.83,3.20,,
E01029458,1786,1.48,0.28,0.33,0.19,0.04,-1.38,2.93,0.18,0.00,0.05,1.16,5.23,,
E01029206,1746,1.46,0.20,0.33,0.19,0.04,-1.36,2.90,0.79,0.00,0.02,1.14,6.03,,
E01029100,1522,1.25,0.26,0.28,0.16,0.04,-1.18,2.05,0.42,0.00,0.02,0.99,4.26,,
E01029283,1696,1.41,0.23,0.31,0.18,0.04,-1.32,1.37,0.34,0.00,0.03,1.11,3.67,,
E01029366,1668,1.30,0.36,0.30,0.18,0.04,-1.29,2.53,0.59,0.00,0.02,1.08,5.13,,
E01029207,1426,1.19,0.13,0.27,0.15,0.03,-1.10,1.99,0.19,0.00,0.03,0.93,3.86,,
E01029165,1216,1.01,0.29,0.19,0.13,0.03,-0.94,1.15,0.50,0.00,0.01,0.79,3.33,,
E01029284,1791,1.47,0.38,0.33,0.19,0.04,-1.38,2.41,0.24,0.00,0.04,1.16,4.99,,
E01029166,2419,2.02,0.59,0.37,0.26,0.06,-1.87,3.25,0.42,0.00,0.05,1.58,6.97,,
E01029101,1087,0.90,0.23,0.21,0.12,0.03,-0.84,2.23,0.51,0.00,0.01,0.71,4.03,,
E01029167,1672,1.38,0.33,0.26,0.18,0.04,-1.29,3.10,0.49,0.00,0.03,1.09,5.66,,
E01029153,2378,1.99,0.51,0.42,0.25,0.06,-1.85,2.84,0.45,0.00,0.05,1.55,6.17,,
E01029168,1930,1.61,0.29,0.35,0.21,0.05,-1.49,3.00,0.37,0.00,0.04,1.26,5.85,,
E01029102,1953,1.60,0.43,0.34,0.21,0.05,-1.51,5.01,0.17,0.00,0.05,1.27,8.10,,
E01029169,1799,1.48,0.53,0.33,0.19,0.04,-1.39,3.32,0.59,0.00,0.02,1.17,6.22,,
E01029154,1919,1.59,0.33,0.37,0.20,0.05,-1.48,4.87,0.17,0.00,0.05,1.25,7.28,,
E01029170,1268,1.05,0.17,0.25,0.13,0.03,-0.98,1.71,0.37,0.00,0.01,0.82,3.74,,
E01029103,1494,1.25,0.24,0.27,0.16,0.04,-1.15,2.20,0.42,0.00,0.02,0.97,4.46,,
E01029376,1742,1.36,0.46,0.32,0.19,0.04,-1.35,2.64,0.20,0.00,0.05,1.13,5.11,,
E01029155,1784,1.48,0.41,0.32,0.19,0.04,-1.38,1.11,0.80,0.00,0.01,1.16,4.16,,
E01029171,2273,1.90,0.09,0.40,0.24,0.05,-1.76,0.02,1.03,0.00,0.01,1.48,3.57,,
E01029216,1638,1.37,0.35,0.30,0.18,0.04,-1.28,2.55,0.72,0.00,0.02,1.08,5.35,,
E01029377,1353,1.05,0.37,0.25,0.15,0.03,-1.06,2.04,0.58,0.00,0.01,0.89,4.21,,
E01029172,1530,1.27,0.31,0.28,0.16,0.04,-1.18,2.60,0.25,0.00,0.04,1.00,4.68,,
E01029217,1586,1.32,0.40,0.26,0.17,0.04,-1.22,2.51,0.32,0.00,0.03,1.04,4.76,,
E01029378,1607,1.26,0.33,0.29,0.17,0.04,-1.24,2.52,0.43,0.00,0.02,1.05,4.83,,
E01029173,1468,1.20,0.40,0.27,0.16,0.04,-1.14,0.98,0.47,0.00,0.02,0.96,3.51,,
E01029218,2061,1.72,0.28,0.36,0.22,0.05,-1.59,4.30,0.21,0.00,0.06,1.34,7.24,,
E01029379,1708,1.33,0.54,0.28,0.18,0.04,-1.32,1.85,0.56,0.00,0.02,1.11,4.70,,
E01029174,1119,0.93,0.17,0.20,0.12,0.03,-0.86,2.18,0.16,0.00,0.03,0.73,3.64,,
E01029219,1480,1.23,0.17,0.26,0.16,0.04,-1.14,2.29,0.15,0.00,0.04,0.96,4.21,,
E01029380,1399,1.09,0.19,0.29,0.15,0.03,-1.08,1.84,0.43,0.00,0.01,0.91,3.87,,
E01029175,2302,1.90,0.52,0.43,0.25,0.06,-1.79,3.61,0.97,0.00,0.02,1.50,7.81,,
E01029220,1260,1.05,0.17,0.24,0.13,0.03,-0.97,1.82,0.37,0.00,0.01,0.82,3.67,,
E01029381,1431,1.12,0.10,0.26,0.15,0.03,-1.11,2.03,0.58,0.00,0.02,0.93,4.21,,
E01029176,1452,1.20,0.35,0.26,0.15,0.03,-1.12,1.68,0.39,0.00,0.02,0.95,3.88,,
E01029382,1625,1.27,0.43,0.30,0.17,0.04,-1.26,2.05,0.45,0.00,0.03,1.06,4.64,,
E01029221,2509,2.08,0.59,0.37,0.27,0.06,-1.95,3.75,0.64,0.00,0.03,1.65,7.20,,
E01029177,1255,1.04,0.22,0.22,0.13,0.03,-0.97,2.43,0.13,0.00,0.03,0.82,4.02,,
E01029383,2148,1.68,0.20,0.41,0.23,0.05,-1.70,0.64,0.37,0.00,0.04,1.43,3.48,,
E01029385,1575,1.23,0.27,0.30,0.17,0.04,-1.22,2.65,0.46,0.00,0.01,1.02,5.04,,
E01029386,1417,1.10,0.31,0.27,0.15,0.03,-1.09,2.65,0.26,0.00,0.03,0.92,4.45,,
E01029387,1378,1.07,0.21,0.25,0.15,0.03,-1.06,1.82,0.49,0.00,0.02,0.90,3.95,,
E01029388,1296,1.01,0.36,0.23,0.14,0.03,-1.00,1.87,0.39,0.00,0.01,0.84,4.00,,
E01029389,1697,1.33,0.63,0.34,0.18,0.04,-1.32,2.51,0.74,0.00,0.02,1.11,5.20,,
E01029390,1028,0.80,0.20,0.20,0.11,0.02,-0.79,1.57,0.32,0.00,0.01,0.67,3.15,,
E01029391,1713,1.34,0.24,0.34,0.18,0.04,-1.33,1.83,0.47,0.00,0.02,1.11,4.21,,
E01029392,2186,1.70,0.59,0.39,0.23,0.05,-1.69,4.04,0.25,0.00,0.06,1.42,6.67,,
E01029393,1598,1.25,0.28,0.30,0.17,0.04,-1.23,2.47,0.25,0.00,0.03,1.04,4.54,,
E01029394,1505,1.26,0.17,0.28,0.16,0.04,-1.17,1.11,0.32,0.00,0.03,0.98,3.19,,
E01029395,3005,2.48,0.79,0.58,0.32,0.07,-2.33,4.77,0.99,0.00,0.03,1.96,9.50,,
E01029396,1617,1.34,0.17,0.30,0.17,0.04,-1.25,0.61,0.29,0.00,0.03,1.05,2.92,,
E01029397,2604,2.16,0.35,0.46,0.28,0.06,-2.01,1.28,0.51,0.00,0.05,1.69,4.80,,
E01029398,1635,1.36,0.40,0.24,0.17,0.04,-1.27,2.06,0.24,0.00,0.03,1.06,4.29,,
E01029399,1387,1.09,0.44,0.24,0.15,0.03,-1.11,2.99,0.17,0.00,0.04,0.93,4.76,,
E01029400,1594,1.30,0.41,0.30,0.17,0.04,-1.23,3.43,0.15,0.00,0.05,1.04,5.61,,
E01029401,1519,1.26,0.27,0.29,0.16,0.04,-1.17,2.89,0.14,0.00,0.04,0.99,5.05,,
E01029478,1670,1.39,0.25,0.30,0.18,0.04,-1.29,2.67,0.32,0.00,0.03,1.09,4.98,,
E01029109,1398,1.15,0.32,0.26,0.15,0.03,-1.08,2.83,0.14,0.00,0.04,0.91,4.86,,
E01029266,1303,1.10,0.15,0.24,0.14,0.03,-1.01,2.19,0.19,0.00,0.03,0.85,3.91,,
E01029110,2183,1.81,0.41,0.41,0.23,0.05,-1.69,2.00,0.57,0.00,0.02,1.42,4.79,,
E01029111,2358,1.95,0.41,0.44,0.25,0.06,-1.82,2.86,0.63,0.00,0.02,1.53,6.23,,
E01029112,2226,1.83,0.36,0.41,0.24,0.05,-1.73,1.17,0.42,0.00,0.04,1.45,4.28,,
E01029113,1614,1.33,0.27,0.29,0.17,0.04,-1.25,1.06,0.32,0.00,0.02,1.05,3.12,,
E01029114,1398,1.16,0.19,0.28,0.15,0.03,-1.08,1.93,0.17,0.00,0.03,0.91,3.77,,
E01029115,1562,1.29,0.30,0.30,0.17,0.04,-1.21,2.33,0.41,0.00,0.02,1.02,4.71,,
E01029116,1506,1.25,0.20,0.27,0.16,0.04,-1.16,0.80,0.29,0.00,0.03,0.98,2.77,,
E01029117,1670,1.37,0.29,0.34,0.18,0.04,-1.29,2.42,0.74,0.00,0.02,1.09,5.34,,
E01029118,1730,1.41,0.49,0.32,0.18,0.04,-1.34,0.79,0.65,0.00,0.01,1.13,3.96,,
E01029119,1606,1.32,0.40,0.28,0.17,0.04,-1.24,3.47,0.15,0.00,0.04,1.04,5.67,,
E01029120,1447,1.19,0.32,0.28,0.15,0.03,-1.12,2.47,0.18,0.00,0.04,0.94,4.72,,
E01029121,1227,1.03,0.27,0.21,0.13,0.03,-0.96,1.95,0.31,0.00,0.01,0.81,3.65,,
E01029122,1577,1.31,0.17,0.29,0.17,0.04,-1.22,2.43,0.46,0.00,0.02,1.03,4.66,,
E01029123,1157,0.96,0.15,0.22,0.12,0.03,-0.89,1.64,0.14,0.00,0.03,0.75,3.17,,
E01029124,1811,1.52,0.29,0.35,0.20,0.05,-1.45,3.18,0.75,0.00,0.02,1.22,6.66,,
E01029125,1376,1.14,0.31,0.21,0.15,0.03,-1.07,1.94,0.40,0.00,0.01,0.90,3.95,,
E01029126,1581,1.31,0.30,0.25,0.17,0.04,-1.22,1.88,0.25,0.00,0.04,1.03,4.13,,
E01029127,1629,1.35,0.28,0.31,0.17,0.04,-1.26,4.03,0.14,0.00,0.05,1.06,6.14,,
E01029128,1875,1.55,0.46,0.30,0.20,0.04,-1.45,2.37,0.30,0.00,0.04,1.22,5.04,,
E01029129,2360,2.03,0.27,0.45,0.26,0.06,-1.85,3.51,0.40,0.00,0.05,1.56,7.15,,
E01029130,2023,1.69,0.49,0.37,0.21,0.05,-1.56,3.62,0.30,0.00,0.05,1.32,6.27,,
E01029131,2469,2.04,0.47,0.42,0.26,0.06,-1.91,3.15,0.47,0.00,0.05,1.61,6.58,,
E01029132,1610,1.34,0.19,0.29,0.17,0.04,-1.24,0.34,0.72,0.00,0.01,1.05,2.81,,
E01029133,1208,1.00,0.15,0.22,0.13,0.03,-0.93,1.15,0.36,0.00,0.01,0.79,2.86,,
E01029134,2076,1.72,0.25,0.38,0.22,0.05,-1.60,0.44,0.92,0.00,0.01,1.35,3.63,,
E01029135,1700,1.41,0.43,0.31,0.18,0.04,-1.31,3.26,0.14,0.00,0.05,1.11,5.93,,
E01029136,2268,1.89,0.57,0.42,0.24,0.05,-1.76,4.43,0.36,0.00,0.05,1.49,7.43,,
E01029137,1695,1.44,0.40,0.28,0.18,0.04,-1.32,2.77,0.28,0.00,0.04,1.11,5.21,,
E01029138,1460,1.23,0.18,0.27,0.16,0.04,-1.13,3.08,0.15,0.00,0.04,0.95,5.11,,
E01029139,1534,1.28,0.36,0.24,0.16,0.04,-1.19,2.30,0.44,0.00,0.02,1.00,4.75,,
E01029142,1536,1.27,0.20,0.30,0.16,0.04,-1.19,3.63,0.71,0.00,0.02,1.00,6.07,,
E01029143,1367,1.14,0.13,0.26,0.15,0.03,-1.06,3.01,0.15,0.00,0.04,0.89,4.64,,
E01029144,1213,1.00,0.27,0.18,0.13,0.03,-0.94,1.54,0.35,0.00,0.01,0.79,3.34,,
E01029372,1304,1.06,0.32,0.25,0.14,0.03,-1.01,1.93,0.46,0.00,0.02,0.85,3.73,,
E01029373,2405,1.99,0.53,0.43,0.26,0.06,-1.86,3.91,0.36,0.00,0.06,1.57,7.41,,
E01029214,1166,0.97,0.26,0.19,0.12,0.03,-0.90,1.64,0.17,0.00,0.03,0.76,3.19,,
E01029162,1524,1.33,0.33,0.28,0.18,0.04,-1.26,1.84,0.45,0.00,0.02,1.07,4.42,,
E01029374,2241,1.90,0.32,0.41,0.24,0.05,-1.76,3.12,0.38,0.00,0.05,1.48,6.67,,
E01029290,1426,1.19,0.30,0.26,0.15,0.03,-1.11,2.08,0.30,0.00,0.02,0.93,4.20,,
E01029215,1117,0.93,0.28,0.18,0.12,0.03,-0.87,1.71,0.18,0.00,0.03,0.73,3.28,,
E01029163,2184,1.81,0.49,0.35,0.23,0.05,-1.69,3.04,0.26,0.00,0.05,1.42,5.85,,
E01029375,2375,1.86,0.79,0.40,0.25,0.06,-1.85,3.69,0.62,0.00,0.04,1.55,7.67,,
E01029291,1563,1.30,0.06,0.28,0.17,0.04,-1.21,0.02,0.71,0.00,0.01,1.02,2.46,,
E01029292,1545,1.27,0.25,0.29,0.16,0.04,-1.19,2.46,0.23,0.00,0.03,1.00,4.69,,
E01029293,1648,1.36,0.30,0.29,0.18,0.04,-1.28,2.29,0.29,0.00,0.03,1.07,4.76,,
E01029480,2040,1.70,0.28,0.37,0.22,0.05,-1.58,2.84,0.38,0.00,0.04,1.33,5.57,,
E01029294,1846,1.53,0.41,0.36,0.20,0.04,-1.43,0.55,0.12,0.00,0.05,1.20,2.95,,
E01029208,1298,1.09,0.32,0.22,0.14,0.03,-1.01,3.12,0.17,0.00,0.03,0.85,4.89,,
E01029267,1763,1.47,0.41,0.31,0.19,0.04,-1.38,2.04,0.45,0.00,0.02,1.16,4.70,,
E01029482,1601,1.32,0.22,0.28,0.17,0.04,-1.24,2.13,0.30,0.00,0.03,1.04,4.32,,
E01029483,1500,1.25,0.26,0.27,0.16,0.04,-1.17,2.19,0.18,0.00,0.04,0.98,4.16,,
E01029484,1668,1.38,0.33,0.30,0.18,0.04,-1.29,2.33,0.53,0.00,0.02,1.09,4.83,,
E01029485,1456,1.20,0.36,0.27,0.15,0.03,-1.13,1.85,0.58,0.00,0.02,0.95,4.31,,
E01029486,1430,1.12,0.37,0.24,0.15,0.03,-1.11,2.01,0.31,0.00,0.03,0.93,4.18,,
E01029487,1635,1.27,0.42,0.30,0.17,0.04,-1.26,2.29,0.55,0.00,0.02,1.06,4.54,,
E01029488,2435,2.03,0.58,0.39,0.26,0.06,-1.88,3.15,0.63,0.00,0.04,1.58,6.96,,
E01029489,1489,1.16,0.34,0.26,0.16,0.04,-1.15,2.27,0.42,0.00,0.02,0.97,4.52,,
E01029490,1397,1.09,0.09,0.28,0.15,0.03,-1.08,1.33,0.38,0.00,0.02,0.91,3.23,,
E01029491,1724,1.43,0.21,0.32,0.18,0.04,-1.33,3.25,0.19,0.00,0.04,1.12,5.49,,
E01029492,1988,1.64,0.42,0.39,0.21,0.05,-1.54,2.47,0.55,0.00,0.02,1.30,5.43,,
E01029493,1871,1.47,0.71,0.34,0.20,0.05,-1.46,2.56,0.50,0.00,0.03,1.22,5.23,,
E01029494,1572,1.23,0.57,0.28,0.17,0.04,-1.21,2.01,0.23,0.00,0.03,1.02,4.06,,
E01029495,1595,1.25,0.36,0.26,0.17,0.04,-1.24,3.21,0.34,0.00,0.03,1.04,5.40,,
E01029496,1945,1.51,0.17,0.41,0.21,0.05,-1.50,2.38,0.56,0.00,0.02,1.27,5.14,,
E01029498,2012,1.67,0.44,0.36,0.21,0.05,-1.55,3.19,0.88,0.00,0.02,1.31,6.74,,
E01029499,1622,1.33,0.40,0.28,0.17,0.04,-1.25,1.81,0.26,0.00,0.03,1.06,4.10,,
E01029268,1672,1.39,0.40,0.30,0.18,0.04,-1.29,2.90,0.72,0.00,0.02,1.09,5.75,,
E01029500,1573,1.28,0.42,0.30,0.17,0.04,-1.21,0.79,0.55,0.00,0.01,1.02,3.60,,
E01029269,2201,1.82,0.58,0.32,0.23,0.05,-1.70,2.95,0.67,0.00,0.04,1.43,6.44,,
