Datazone,Population,Air.quality,Noise,Congestion,Road.Repairs,Road.Safety,Hassle.Costs,Physical.Activity,Excess.Cold,Excess.Heat,Dampness,Diet.Change,Total,,£ millions total
E01016745,1649,1.36,0.27,0.32,0.18,0.04,-1.27,3.01,0.17,0.00,0.04,1.07,5.51,,
E01016690,2251,1.87,0.52,0.40,0.24,0.05,-1.74,5.34,0.23,0.00,0.06,1.46,7.98,,
E01016780,1670,1.38,0.26,0.31,0.18,0.04,-1.29,2.79,0.20,0.00,0.04,1.09,4.93,,
E01016781,1370,1.14,0.16,0.26,0.15,0.03,-1.06,2.83,0.15,0.00,0.04,0.89,4.51,,
E01016783,1967,1.63,0.17,0.37,0.21,0.05,-1.52,1.46,0.87,0.00,0.01,1.28,4.62,,
E01016784,1833,1.52,0.34,0.36,0.20,0.04,-1.42,2.29,0.77,0.00,0.01,1.20,5.06,,
E01016786,1466,1.21,0.17,0.28,0.16,0.04,-1.13,1.24,0.49,0.00,0.01,0.95,3.40,,
E01016787,1707,1.42,0.25,0.31,0.18,0.04,-1.33,0.34,0.70,0.00,0.01,1.12,2.89,,
E01016788,1569,1.30,0.18,0.28,0.17,0.04,-1.21,0.35,0.68,0.00,0.01,1.02,2.83,,
E01016789,1269,1.04,0.22,0.24,0.13,0.03,-0.98,1.54,0.38,0.00,0.01,0.83,3.53,,
E01016790,1483,1.24,0.06,0.26,0.16,0.04,-1.15,0.02,0.67,0.00,0.01,0.96,2.33,,
E01016791,1466,1.20,0.31,0.29,0.16,0.04,-1.13,1.38,0.27,0.00,0.02,0.95,3.58,,
E01016792,1220,1.00,0.30,0.23,0.13,0.03,-0.94,1.79,0.51,0.00,0.01,0.79,3.77,,
E01016793,2328,1.91,0.48,0.43,0.25,0.06,-1.80,2.45,0.77,0.00,0.02,1.51,6.09,,
E01016794,1688,1.40,0.16,0.33,0.18,0.04,-1.30,0.87,0.77,0.00,0.01,1.10,3.55,,
E01016795,1540,1.28,0.18,0.28,0.16,0.04,-1.19,0.33,0.69,0.00,0.01,1.00,2.69,,
E01016796,1706,1.42,0.10,0.30,0.18,0.04,-1.32,0.07,0.78,0.00,0.01,1.11,2.77,,
E01016797,1753,1.46,0.27,0.33,0.19,0.04,-1.35,2.18,0.51,0.00,0.02,1.14,4.70,,
E01016798,1889,1.57,0.25,0.35,0.20,0.05,-1.46,2.21,0.57,0.00,0.02,1.23,4.95,,
E01016799,2039,1.70,0.25,0.36,0.22,0.05,-1.57,3.12,0.23,0.00,0.05,1.33,5.60,,
E01016800,1853,1.54,0.44,0.33,0.20,0.04,-1.43,2.10,0.27,0.00,0.04,1.21,4.75,,
E01016801,1359,1.13,0.32,0.25,0.14,0.03,-1.05,2.76,0.15,0.00,0.04,0.88,4.38,,
E01016802,1453,1.21,0.34,0.24,0.15,0.03,-1.12,0.94,0.61,0.00,0.01,0.95,3.28,,
E01016803,1391,1.16,0.32,0.23,0.15,0.03,-1.07,0.89,0.59,0.00,0.01,0.90,3.16,,
E01016804,1967,1.63,0.25,0.36,0.21,0.05,-1.52,2.56,0.84,0.00,0.01,1.28,5.37,,
E01016542,1262,1.05,0.15,0.23,0.13,0.03,-0.97,0.27,0.56,0.00,0.01,0.82,2.21,,
E01016543,1948,1.62,0.22,0.34,0.21,0.05,-1.50,0.44,0.84,0.00,0.01,1.27,3.52,,
E01016544,2182,1.81,0.26,0.39,0.23,0.05,-1.68,0.46,0.97,0.00,0.01,1.42,3.81,,
E01016545,2205,1.82,0.36,0.42,0.23,0.05,-1.70,1.46,0.92,0.00,0.01,1.43,5.18,,
E01016546,1606,1.33,0.18,0.30,0.17,0.04,-1.24,3.07,0.17,0.00,0.04,1.04,5.02,,
E01016547,1706,1.40,0.39,0.32,0.18,0.04,-1.32,4.22,0.16,0.00,0.04,1.11,7.28,,
E01016548,1892,1.57,0.20,0.35,0.20,0.05,-1.46,1.02,0.85,0.00,0.01,1.23,3.92,,
E01016549,2012,1.67,0.24,0.36,0.21,0.05,-1.55,0.43,0.90,0.00,0.01,1.31,3.52,,
E01016550,1507,1.26,0.07,0.30,0.16,0.04,-1.16,1.16,0.66,0.00,0.01,0.98,3.53,,
E01016551,1587,1.32,0.06,0.28,0.17,0.04,-1.23,0.02,0.72,0.00,0.01,1.03,2.49,,
E01016594,1867,1.55,0.30,0.34,0.20,0.04,-1.44,3.93,0.21,0.00,0.04,1.21,6.00,,
E01016552,1697,1.42,0.03,0.32,0.18,0.04,-1.31,1.04,0.72,0.00,0.01,1.10,3.60,,
E01016595,1897,1.57,0.29,0.35,0.20,0.05,-1.46,2.58,0.22,0.00,0.05,1.23,5.44,,
E01016553,1482,1.23,0.12,0.28,0.16,0.04,-1.14,1.01,0.63,0.00,0.01,0.96,3.32,,
E01016630,1509,1.25,0.17,0.27,0.16,0.04,-1.17,0.34,0.65,0.00,0.01,0.98,2.73,,
E01016691,1301,1.09,0.32,0.23,0.14,0.03,-1.00,0.04,0.56,0.00,0.01,0.85,2.13,,
E01016746,1846,1.53,0.26,0.34,0.20,0.04,-1.43,0.46,0.82,0.00,0.01,1.20,3.36,,
